Date : 2026-07-16 13:33:02
Directory : d:\HDSP_HYBRID\vendor-portal
Total : 204 files,  -53705 codes, -1481 comments, -2467 blanks, all -57653 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\enrollments\[id]\page.tsx                                  | TypeScript JSX     |     -1,161 |        -23 |        -58 |     -1,242 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\enrollments\new\page.tsx                                   | TypeScript JSX     |       -242 |         -6 |        -24 |       -272 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\layout.tsx                                                 | TypeScript JSX     |         -9 |          0 |         -3 |        -12 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\page.tsx                                                   | TypeScript JSX     |       -101 |         -1 |         -8 |       -110 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\[id]\page.tsx                                     | TypeScript JSX     |       -368 |        -12 |        -30 |       -410 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\new\page.tsx                                      | TypeScript JSX     |       -210 |         -4 |        -21 |       -235 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\page.tsx                                          | TypeScript JSX     |       -235 |         -2 |        -12 |       -249 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\patients\search\page.tsx                                   | TypeScript JSX     |       -248 |         -8 |        -25 |       -281 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\[id]\page.tsx                                    | TypeScript JSX     |       -813 |        -35 |        -76 |       -924 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\new\page.tsx                                     | TypeScript JSX     |       -278 |         -7 |        -28 |       -313 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\preschool\page.tsx                                         | TypeScript JSX     |       -164 |         -2 |        -14 |       -180 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\progress-reports\[id]\page.tsx                             | TypeScript JSX     |       -487 |         -7 |        -36 |       -530 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\progress-reports\page.tsx                                  | TypeScript JSX     |       -311 |        -20 |        -36 |       -367 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\sessions\[id]\page.tsx                                     | TypeScript JSX     |       -406 |        -20 |        -35 |       -461 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\sessions\page.tsx                                          | TypeScript JSX     |       -220 |         -2 |        -19 |       -241 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\eic\sync\page.tsx                                              | TypeScript JSX     |       -429 |         -9 |        -33 |       -471 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\analytics\page.tsx                                    | TypeScript JSX     |       -251 |         -6 |        -18 |       -275 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\campaigns\page.tsx                                    | TypeScript JSX     |       -274 |         -3 |        -23 |       -300 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\complaints\page.tsx                                   | TypeScript JSX     |       -275 |         -8 |        -23 |       -306 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\forms\[id]\page.tsx                                   | TypeScript JSX     |       -775 |        -48 |        -88 |       -911 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\forms\page.tsx                                        | TypeScript JSX     |       -203 |          0 |        -18 |       -221 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\languages\page.tsx                                    | TypeScript JSX     |        -87 |         -6 |        -13 |       -106 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\qr-codes\page.tsx                                     | TypeScript JSX     |       -238 |         -5 |        -27 |       -270 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\responses\page.tsx                                    | TypeScript JSX     |       -101 |         -7 |        -13 |       -121 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\feedback\settings\page.tsx                                     | TypeScript JSX     |       -163 |        -14 |        -19 |       -196 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\[documentId]\page.tsx                           | TypeScript JSX     |       -195 |        -32 |        -28 |       -255 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\page.tsx                                        | TypeScript JSX     |       -148 |         -8 |        -12 |       -168 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\designer\templates\page.tsx                              | TypeScript JSX     |       -123 |         -8 |        -12 |       -143 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\forms\import\page.tsx                                          | TypeScript JSX     |       -426 |        -42 |        -55 |       -523 |
| d:\HDSP_HYBRID\frontend\src\app\(platform)\layout.tsx                                                     | TypeScript JSX     |       -617 |        -31 |        -44 |       -692 |
