"filename", "language", "TypeScript JSX", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "XML", "Markdown", "MS SQL", "comment", "blank", "total"
"d:\HDSP_HYBRID\backend\src\modules\eic\progress-report\eic-progress-report.policy.ts", "TypeScript", 0, 0, -51, 0, 0, 0, 0, 0, 0, -8, -59
"d:\HDSP_HYBRID\backend\src\modules\eic\progress-report\eic-progress-report.service.ts", "TypeScript", 0, 0, -299, 0, 0, 0, 0, 0, -45, -52, -396
"d:\HDSP_HYBRID\backend\src\modules\eic\progress-report\report.events.ts", "TypeScript", 0, 0, -53, 0, 0, 0, 0, 0, -5, -8, -66
"d:\HDSP_HYBRID\backend\src\modules\eic\progress-report\workflow-policy.interface.ts", "TypeScript", 0, 0, -5, 0, 0, 0, 0, 0, -15, -3, -23
"d:\HDSP_HYBRID\backend\src\modules\eic\session\eic-session.controller.ts", "TypeScript", 0, 0, -102, 0, 0, 0, 0, 0, -1, -10, -113
"d:\HDSP_HYBRID\backend\src\modules\eic\session\eic-session.service.ts", "TypeScript", 0, 0, -177, 0, 0, 0, 0, 0, -18, -33, -228
"d:\HDSP_HYBRID\backend\src\modules\feedback\analytics\feedback-analytics.controller.ts", "TypeScript", 0, 0, -28, 0, 0, 0, 0, 0, -6, -3, -37
"d:\HDSP_HYBRID\backend\src\modules\feedback\analytics\feedback-analytics.service.ts", "TypeScript", 0, 0, -127, 0, 0, 0, 0, 0, -23, -13, -163
"d:\HDSP_HYBRID\backend\src\modules\feedback\audit\feedback-audit.controller.ts", "TypeScript", 0, 0, -22, 0, 0, 0, 0, 0, 0, -3, -25
"d:\HDSP_HYBRID\backend\src\modules\feedback\audit\feedback-audit.service.ts", "TypeScript", 0, 0, -58, 0, 0, 0, 0, 0, -17, -7, -82
"d:\HDSP_HYBRID\backend\src\modules\feedback\campaigns\feedback-campaign.controller.ts", "TypeScript", 0, 0, -49, 0, 0, 0, 0, 0, -4, -7, -60
"d:\HDSP_HYBRID\backend\src\modules\feedback\campaigns\feedback-campaign.service.ts", "TypeScript", 0, 0, -115, 0, 0, 0, 0, 0, -14, -11, -140
"d:\HDSP_HYBRID\backend\src\modules\feedback\complaints\feedback-complaint.controller.ts", "TypeScript", 0, 0, -41, 0, 0, 0, 0, 0, -7, -5, -53
"d:\HDSP_HYBRID\backend\src\modules\feedback\complaints\feedback-complaint.service.ts", "TypeScript", 0, 0, -122, 0, 0, 0, 0, 0, -28, -16, -166
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-campaign.dto.ts", "TypeScript", 0, 0, -86, 0, 0, 0, 0, 0, 0, -18, -104
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-complaint.dto.ts", "TypeScript", 0, 0, -48, 0, 0, 0, 0, 0, -8, -10, -66
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-form.dto.ts", "TypeScript", 0, 0, -35, 0, 0, 0, 0, 0, -7, -7, -49
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-qr.dto.ts", "TypeScript", 0, 0, -52, 0, 0, 0, 0, 0, 0, -12, -64
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-question.dto.ts", "TypeScript", 0, 0, -154, 0, 0, 0, 0, 0, -4, -35, -193
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-section.dto.ts", "TypeScript", 0, 0, -39, 0, 0, 0, 0, 0, 0, -8, -47
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-settings.dto.ts", "TypeScript", 0, 0, -40, 0, 0, 0, 0, 0, -9, -13, -62
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-submission.dto.ts", "TypeScript", 0, 0, -28, 0, 0, 0, 0, 0, -11, -6, -45
"d:\HDSP_HYBRID\backend\src\modules\feedback\dto\feedback-translation.dto.ts", "TypeScript", 0, 0, -50, 0, 0, 0, 0, 0, -1, -10, -61
"d:\HDSP_HYBRID\backend\src\modules\feedback\entities\feedback-answer.entity.ts", "TypeScript", 0, 0, -20, 0, 0, 0, 0, 0, -38, -9, -67
"d:\HDSP_HYBRID\backend\src\modules\feedback\entities\feedback-audit-log.entity.ts", "TypeScript", 0, 0, -24, 0, 0, 0, 0, 0, -23, -11, -58
